step,reward_mean,reward_std,cumulative_reward_mean,cumulative_reward_std,optimal_action_mean,optimal_action_std,regret_mean,regret_std
0,-0.1738166440718603,1.6116376218507422,-0.1738166440718603,1.6116376218507422,0.08,0.271293199325011,1.6869827630834116,1.6358242297427161
1,0.15357387444969078,1.415467764509307,-0.020242769622169643,2.4119557031544123,0.15,0.35707142142714327,3.046575007645271,2.439324143558204
2,0.46334768063210624,1.516103641651353,0.44310491100993643,3.2328108485679854,0.18,0.38418745424597167,4.096393446024716,3.261574491000368
3,0.49739933399913544,1.291010432836886,0.9405042450090718,3.8930780700656182,0.21,0.4073082370883263,5.112160231037129,3.8982861848202535
4,0.6709518676020604,1.3413451897593014,1.6114561126111326,4.612874183226976,0.21,0.4073082370883263,5.954374482446623,4.559029034334106
5,0.6481864345981385,1.3228178139908175,2.2596425472092707,5.432527200657116,0.22,0.4142463035441602,6.819354166860031,5.260952072980538
6,0.6660870743190642,1.306998950585796,2.925729621528336,6.041166649330834,0.22,0.4142463035441602,7.666433211552519,5.763237931143401
7,0.6296749826292296,1.235570003919041,3.5554046041575647,6.700063135431531,0.23,0.42083250825001595,8.54992434793484,6.22724368118364
8,0.5192895583624868,1.3925945441575533,4.074694162520052,7.380977690141332,0.24,0.427083130081253,9.543800908583908,6.781107471313169
9,0.6884075373050307,1.2243653052716412,4.763101699825083,8.002731067249577,0.27,0.44395945760846267,10.368559490290425,7.353665896272298
10,0.8094808257195555,1.360688551910464,5.572582525544636,8.527156830342781,0.25,0.4330127018922193,11.072244783582422,7.813013074611194
11,0.7353928642985972,1.4050016994216454,6.307975389843238,9.083501122845794,0.27,0.44395945760846267,11.850018038295373,8.153202578019384
12,0.5473194764690118,1.4158930876123068,6.855294866312246,9.527040078695789,0.23,0.420832508250016,12.815864680837906,8.35504937574894
13,0.573937563366037,1.1765410644985332,7.429232429678287,9.985272661523709,0.27,0.44395945760846267,13.755093236483429,8.79808259709028
14,1.0150645753666594,1.3200413494053382,8.44429700504494,10.710008302327955,0.29,0.4537620521815368,14.253194780128323,9.352905111953625
15,0.8575903512434081,1.2702526574511932,9.301887356288345,11.310095660751218,0.31,0.46249324319388696,14.908770547896452,9.756107164397596
16,0.8269745180518914,1.1229991849000975,10.128861874340236,11.683725936672927,0.28,0.4489988864128728,15.59496214885612,10.144208878073842
17,0.5912788259549072,1.0468992668480097,10.72014070029515,12.034210733698284,0.3,0.4582575694955838,16.51684944191276,10.548347479557883
18,1.0888477952299054,1.165110718427421,11.80898849552505,12.628487009488508,0.31,0.46249324319388696,16.941167765694402,11.045911555730685
19,1.0846343492796693,1.2530041023436806,12.89362284480472,13.081322340023473,0.3,0.4582575694955838,17.36969953542628,11.446128105702636
20,1.0709348616303596,1.2313716184011578,13.96455770643508,13.542277126997206,0.3,0.4582575694955838,17.811930792807487,11.84170529504859
21,0.8694505452494791,1.2578761565706265,14.834008251684565,14.13140902532518,0.32,0.4664761515876236,18.455646366569557,12.328913677649922
22,1.1232641119619111,1.1003695146537849,15.957272363646478,14.55704375401209,0.33,0.47021271782034946,18.845548373619184,12.768996290416638
23,1.014305087621593,1.2108436065670656,16.97157745126807,15.05119195769278,0.34,0.47370877129308075,19.344409405009152,13.123421070579882
24,1.0280237970666009,1.0581215596930185,17.999601248334656,15.574424436107096,0.32,0.4664761515876236,19.829551726954097,13.537165776069507
25,0.8800882685167574,1.2360491550843307,18.879689516851418,16.144381363907595,0.32,0.4664761515876236,20.462629577448894,13.993115369135737
26,1.117351581884018,1.2393302854706172,19.997041098735448,16.726674343104676,0.33,0.4702127178203495,20.85844411457642,14.435851612474956
27,0.9356182616236148,1.1406267296049417,20.93265936035906,17.137949995360927,0.34,0.47370877129308075,21.43599197196435,14.840994197210145
28,0.8779456512611581,1.30269417966627,21.810605011620215,17.90312868179727,0.33,0.4702127178203495,22.071212439714756,15.32581493987644
29,0.9411241005501231,1.2812999130895517,22.751729112170345,18.554060513496562,0.34,0.47370877129308075,22.643254458176173,15.782672793317735
30,1.0724289855889138,1.317074768887169,23.824158097759252,19.16742889162556,0.34,0.47370877129308075,23.08399159159881,16.347231374330136
31,0.9802684008719791,1.125127139810274,24.80442649863123,19.69073156818778,0.34,0.47370877129308075,23.61688930973839,16.88136557051544
32,1.0781683907732558,1.0600371355379645,25.88259488940448,20.189223253156786,0.34,0.47370877129308075,24.051887037976694,17.241719746024604
33,0.89954452329632,1.1700354869802028,26.782139412700808,20.67723625059151,0.35,0.47696960070847255,24.665508633691914,17.615716747311083
34,0.9729174272388945,1.2072001929154903,27.75505683993971,21.267066421366565,0.34,0.47370877129308075,25.205757325464575,17.99212495798893
